Replicate,Generation,mean fitness,mean learning rate,mean learning episodes,mean best fitness,environmental mean location
0,0,114.9917324,0.5042979481,20,372.9159013,0
0,1,169.4168839,0.5102367869,20,360.279811,-0.3290823075
0,2,221.4146907,0.5119975476,20,359.509638,-0.6386315384
0,3,226.6741532,0.5208878624,20,361.6299699,-0.3187563204
0,4,289.1033822,0.5343689412,20,368.0638633,-0.5311612539
0,5,257.7581009,0.5554710649,20,369.1929398,-0.7978950691
0,6,224.5358832,0.566810729,20,366.0418771,-0.9163602193
0,7,148.5727193,0.5906003325,20,367.6444668,0.8779798957
0,8,118.6936421,0.5910322511,20,367.1772809,0.6140644529
0,9,287.7851214,0.603433158,20,370.0538935,0.7703435582
0,10,205.9706567,0.5913477077,20,368.3898418,0.4530742868
0,11,180.039399,0.5684038347,20,368.8115939,0.2898389563
0,12,283.0702748,0.5782595792,20,367.009732,0.5386170232
0,13,266.7628873,0.5772129472,20,370.0420119,0.3559538938
0,14,238.6361417,0.5581073105,20,368.3601359,0.08693643754
0,15,215.321445,0.5438001645,20,365.2014435,-0.1606092377
0,16,241.1587341,0.5532872987,20,359.3972284,0.1073662816
0,17,232.9942731,0.525235182,20,361.5342476,-0.1164237855
0,18,179.980158,0.5241950507,20,370.4347978,-0.3058620926
0,19,287.3684219,0.5280215164,20,377.3082797,-0.5421796004
0,20,183.0959057,0.5268889898,20,359.5881377,-0.3284855026
0,21,305.3148054,0.5212498481,20,366.567062,-0.6701916845
0,22,304.8094707,0.532483765,20,378.8036644,-0.9078179467
0,23,314.5767237,0.5348569537,20,355.3553971,-0.7109761335
0,24,242.7235904,0.5309277672,20,368.2903417,0.9979450061
0,25,106.4471725,0.5314837628,20,364.0125644,0.8194199908
0,26,299.8881071,0.5543578579,20,372.8723526,-0.9246135113
0,27,329.9558325,0.5511111591,20,363.5038567,0.7655687926
0,28,232.2577987,0.5506263917,20,377.6472756,-0.9007470559
0,29,323.8678586,0.5306007224,20,359.8590441,-0.6904476604
0,30,310.9431855,0.5366134182,20,367.7736773,-0.8507661148
0,31,327.8669208,0.5262520448,20,367.6272019,-0.6551492245
0,32,319.5078836,0.5299091003,20,374.0705451,-0.8748777748
0,33,298.5145054,0.521181439,20,374.4942201,-0.6256261132
0,34,258.3519485,0.5078719448,20,366.8647104,-0.4739862804
0,35,339.0600364,0.5140057632,20,369.0200648,-0.7718083952
0,36,287.7945572,0.5137876554,20,359.1255651,0.9349650774
0,37,342.5081137,0.5026263724,20,376.5033788,-0.8275136279
0,38,334.0272739,0.4999814178,20,365.0264823,0.9319085914
0,39,318.0939744,0.4922917699,20,360.1596153,0.6699402291
0,40,238.5348854,0.4887417124,20,368.6350002,0.966542114
0,41,326.6426671,0.4846959423,20,361.7737836,-0.6871537102
0,42,263.8269463,0.4858548744,20,371.1778633,-0.9807580386
0,43,337.1034348,0.4836927974,20,366.4170416,0.7607579371
0,44,338.247084,0.484093861,20,375.2057042,-0.883582099
0,45,297.9955712,0.4848830778,20,367.0005142,-0.6031824639
0,46,249.4585786,0.4871743346,20,376.2337358,-0.4413983671
0,47,302.2569981,0.4856897005,20,363.2559465,-0.6127811534
0,48,330.3839924,0.4866717444,20,361.563647,-0.7776096907
0,49,281.9641956,0.4863615705,20,373.8912031,-0.5384151617
0,50,175.3716566,0.4835068649,20,359.6984902,-0.3274545858
0,51,303.9986676,0.4788648879,20,363.18857,-0.003980602386
0,52,165.0695186,0.4817251715,20,360.0898868,-0.2927588333
0,53,290.4673472,0.4838483829,20,362.3092103,-0.5787161742
0,54,340.7264295,0.4810560231,20,371.835201,-0.7866954213
0,55,176.5880334,0.4813259808,20,362.5499289,0.9608347775
0,56,311.8036126,0.4853311715,20,363.8083357,0.6597728056
0,57,323.4456124,0.487523109,20,368.312611,0.9042521432
0,58,293.0713298,0.4941252151,20,367.8162709,0.6542190575
0,59,344.8836905,0.49391016,20,376.6422322,0.8383848948
0,60,289.260308,0.4933962236,20,362.2396272,0.5950081333
0,61,324.4586329,0.493270006,20,369.0734218,0.3760047717
0,62,320.3089035,0.4896718191,20,361.0006842,0.677300491
0,63,308.0418129,0.4885862779,20,361.7063507,0.9244848846
0,64,325.9851919,0.4897112508,20,373.6626739,0.6554023196
0,65,327.6591906,0.4917542856,20,382.5677914,0.3616526471
0,66,302.7616734,0.4955068381,20,354.7988621,0.6073420267
0,67,282.4081055,0.4946494079,20,355.6223561,0.8496664906
0,68,323.6418148,0.4964786011,20,374.2158133,0.6403205486
0,69,307.72744,0.4986887802,20,367.8312536,0.415763912
0,70,344.8916434,0.4981822212,20,359.5896659,0.08712102994
0,71,293.8904676,0.5009449855,20,367.1489998,-0.09959919802
0,72,347.6071444,0.5025510333,20,361.3039239,0.1917419561
0,73,317.4585486,0.50196256,20,363.6316359,0.3488560886
0,74,320.4954095,0.5039748153,20,368.4770438,0.647109256
0,75,306.7267053,0.504472164,20,368.1325614,0.5001773327
0,76,352.7490395,0.505601975,20,366.4010041,0.09229406333
0,77,343.0523824,0.504207213,20,369.6612941,0.3839199521
0,78,326.3356293,0.5058780051,20,372.547426,0.5920533148
0,79,339.2482495,0.5058540497,20,367.2755657,0.8079095748
0,80,336.4621414,0.5051882611,20,367.6126722,-0.8335823949
0,81,295.5332794,0.5053548028,20,369.7957495,-0.5982955555
0,82,340.7663857,0.5070516085,20,372.825475,-0.8339162011
0,83,264.2013812,0.5075890936,20,370.9529525,-0.5107675232
0,84,179.7855463,0.5101179913,20,352.3005081,-0.2792205093
0,85,288.1531952,0.5103025097,20,367.7286268,-0.09692127507
0,86,362.7703257,0.5082995558,20,373.2257196,0.1303746153
0,87,334.0866172,0.5085579008,20,377.1021988,-0.07868074226
0,88,333.9836431,0.5096112455,20,362.2671816,0.2087508044
0,89,313.1097115,0.5090037271,20,369.2172951,0.4357885417
0,90,350.169179,0.5085858255,20,366.8679995,0.2104840861
0,91,336.195626,0.5076275588,20,374.3167271,-0.05030854143
0,92,233.8434915,0.512655662,20,369.8749194,-0.3152244816
0,93,332.1741517,0.5110718019,20,367.5163339,-0.03479526418
0,94,357.2100389,0.510636189,20,374.0169424,0.1840247759
0,95,313.2813688,0.5146721387,20,371.6857051,0.4348574985
0,96,344.3196564,0.513921619,20,369.4508933,0.2135669384
0,97,288.056266,0.5141838335,20,369.5170119,0.4429523073
0,98,310.9759795,0.5168619752,20,367.3918442,0.6219701842
0,99,348.4938372,0.5188642901,20,376.0605529,0.3420756889
0,100,311.1126184,0.5187213209,20,368.5731597,0.600664029
0,101,305.8499932,0.5216320552,20,361.8425821,0.3316149063
0,102,314.9107228,0.5242737752,20,354.3182937,0.719767154
0,103,315.0484648,0.526286671,20,377.2200907,0.4867712483
0,104,269.4784515,0.5266762028,20,375.3711391,0.6368473606
0,105,332.3778711,0.5292804964,20,363.3430563,0.3644855352
0,106,320.8731252,0.5313060577,20,369.3741099,0.658519399
0,107,293.2189475,0.5336930037,20,368.0920756,0.9397695138
0,108,334.339703,0.539223181,20,363.9047063,-0.8258103129
0,109,291.5990657,0.5350206521,20,370.8259217,-0.5682345996
0,110,291.1814786,0.5365304408,20,364.4315812,-0.9283900457
0,111,345.2931213,0.5329361464,20,377.8868975,0.8248972852
0,112,302.1547213,0.5343063302,20,372.8759476,0.5790590648
0,113,340.995539,0.5362782556,20,373.1194211,0.3431464683
0,114,303.9389152,0.5414294787,20,370.1289695,0.5008551446
0,115,361.2794909,0.5391033368,20,373.194927,0.2091046652
0,116,335.9348147,0.5380339066,20,378.7906057,0.003615396153
0,117,206.3638547,0.5380945155,20,369.7139005,-0.2552013789
0,118,252.6674024,0.5437815072,20,369.4723577,-0.5080003661
0,119,224.8119356,0.5437761383,20,362.1547238,-0.2952970696
0,120,348.6026286,0.5485605402,20,379.3962061,-0.08837717285
0,121,278.0774869,0.5470561042,20,363.4335243,-0.2805477168
0,122,293.7666522,0.5498364668,20,374.6212309,-0.5587706153
0,123,328.1100128,0.5547287997,20,359.5912406,-0.8479866635
0,124,275.7836632,0.5537952682,20,356.1482115,-0.5553290057
0,125,341.5448327,0.5537105343,20,370.0134308,-0.775339641
0,126,307.4524139,0.5560339159,20,375.428347,-0.591206366
0,127,319.6327908,0.5535973915,20,365.1040094,-0.8962412764
0,128,317.170936,0.5520189897,20,368.2547174,-0.6165600539
0,129,300.1349659,0.5517482088,20,362.7289641,-0.8835671456
0,130,334.5247852,0.5506158276,20,369.9096648,0.8126751544
0,131,291.4711432,0.5497727306,20,372.6563261,-0.9470049069
0,132,343.3000911,0.5456191224,20,364.4184655,0.8559089485
0,133,265.2105875,0.5474705636,20,373.6586492,-0.9611051391
0,134,337.9855317,0.5451518586,20,375.5770281,0.7824588829
0,135,300.3689051,0.5446404962,20,362.0301116,0.9900571822
0,136,335.6773569,0.5466878567,20,367.1444872,-0.8098828655
0,137,196.0071782,0.5444829933,20,372.9792806,0.9138991663
0,138,317.001423,0.5394707655,20,368.9472738,0.6321731575
0,139,337.998008,0.5348063171,20,363.8858797,0.8519961588
0,140,295.786245,0.5339895479,20,358.1646838,-0.9702232505
0,141,336.6946511,0.5354152235,20,368.6285539,-0.7385790703
0,142,249.5677314,0.5412726827,20,357.2116777,-0.4870393043
0,143,281.9478838,0.5377714283,20,374.099423,-0.2576909534
0,144,354.6529875,0.5383448785,20,371.0882268,-0.03290239264
0,145,354.236252,0.5385009778,20,368.6114152,0.1704519254
0,146,348.6588704,0.5352171038,20,371.6773638,-0.08840268112
0,147,233.6159127,0.5322983653,20,371.4904605,-0.4233652895
0,148,292.3427563,0.5316875433,20,375.7856322,-0.1989516633
0,149,267.916759,0.5344529788,20,369.971916,0.0006348062619
0,150,337.0487826,0.5427534186,20,368.0274813,0.2553877628
0,151,350.3605359,0.5419724723,20,364.069312,0.1236438839
0,152,289.3554646,0.537199971,20,368.9590593,-0.09633027305
0,153,200.8760602,0.5352380873,20,362.5339538,-0.3676166752
0,154,332.9321444,0.5350689056,20,364.7725463,-0.1564344893
0,155,226.7967358,0.5374549976,20,371.3991572,-0.4379083369
0,156,323.2377894,0.5377336574,20,357.4964009,-0.6885038241
