Replicate;mean.fitness;mean.learning.rate;mean.learning.episodes;mean.best.fitness;performance;environmental.mean.location;lifespan;env_sd;env_change;change_rate;learning_prop_life;fitness_prop_life
8;335.642565;0.734660912;5;379.3367402;0.884781029;-0.019653189;500;0.25;0.4;1;0.01;0.67128513
9;334.3057513;0.578431376;5;379.0543937;0.881899061;-0.010898058;500;0.25;0.4;1;0.01;0.668611503
10;324.7941817;0.34007439;5;379.0301658;0.856858212;-0.007450505;500;0.25;0.4;1;0.01;0.649588363
11;335.5777144;0.618864135;5;379.4205845;0.884387882;-0.022895987;500;0.25;0.4;1;0.01;0.671155429
12;334.2821331;0.598097531;5;379.2185323;0.881514391;-0.004044649;500;0.25;0.4;1;0.01;0.668564266
13;334.1865671;0.643900182;5;379.3799945;0.880831393;-0.00610201;500;0.25;0.4;1;0.01;0.668373134
14;336.2746667;0.623026389;5;379.1635093;0.886877524;0.01540933;500;0.25;0.4;1;0.01;0.672549333
15;337.9933331;0.706202057;5;379.4960077;0.890635924;-0.005475388;500;0.25;0.4;1;0.01;0.675986666
16;333.6128066;0.579831846;5;379.252866;0.879766829;-0.002725851;500;0.25;0.4;1;0.01;0.667225613
17;334.1772616;0.608297374;5;379.3487376;0.880911858;0.025048215;500;0.25;0.4;1;0.01;0.668354523
18;332.1865483;0.66751948;5;379.3019034;0.875747247;-0.008170701;500;0.25;0.4;1;0.01;0.664373097
19;335.259308;0.622775231;5;379.1546333;0.884194024;-0.00290784;500;0.25;0.4;1;0.01;0.670518616
0;340.8802371;0.296404527;5;379.3745038;0.89853043;0.017833311;500;0.25;0.1;10;0.01;0.681760474
1;334.4096034;0.792198414;5;379.5321348;0.881076617;-0.03058315;500;0.25;0.1;10;0.01;0.668819207
2;332.7709042;0.442828497;5;379.1680757;0.877605172;0.172252943;500;0.25;0.1;10;0.01;0.665541808
3;338.8943912;2.614973812;5;379.4075235;0.893201498;-0.080292526;500;0.25;0.1;10;0.01;0.677788782
4;331.3117709;0.323583735;5;379.4854811;0.8730723;-0.051995515;500;0.25;0.1;10;0.01;0.662623542
5;318.4619421;0.597973301;5;379.6248437;0.838864481;0.286417596;500;0.25;0.1;10;0.01;0.636923884
6;316.9143434;0.224261655;5;379.3610795;0.835361567;-0.213532859;500;0.25;0.1;10;0.01;0.633828687
7;337.6299276;0.577911436;5;379.234455;0.890356813;0.07877411;500;0.25;0.1;10;0.01;0.675259855
8;338.9609928;0.889671723;5;379.4212516;0.893340901;-0.003231044;500;0.25;0.1;10;0.01;0.677921986
9;338.431588;0.151096061;5;379.104492;0.892680412;0.336876703;500;0.25;0.1;10;0.01;0.676863176
10;294.2812246;0.153932944;5;379.2658068;0.775815942;0.278977998;500;0.25;0.1;10;0.01;0.588562449
11;330.8828552;0.940966798;5;379.2472445;0.872429508;0.025807384;500;0.25;0.1;10;0.01;0.66176571
12;336.0444887;0.253887051;5;379.2761031;0.886013176;0.008099768;500;0.25;0.1;10;0.01;0.672088977
13;338.3485888;0.2886239;5;379.2560861;0.892120017;0.009352306;500;0.25;0.1;10;0.01;0.676697178
14;338.5408503;1.131122029;5;379.1394444;0.892912218;0.067165729;500;0.25;0.1;10;0.01;0.677081701
