Replicate;mean.fitness;mean.learning.rate;mean.learning.episodes;mean.best.fitness;performance;environmental.mean.location;lifespan;env_sd;env_change;change_rate;learning_prop_life;fitness_prop_life
3;14.38431813;0.372181553;8.4303085;19.16941243;0.750866531;0.020019031;50;0.1;0.4;1;0.16860617;0.287686363
4;15.14538812;0.495644429;8.3083505;19.24908167;0.78670325;0.016117256;50;0.1;0.4;1;0.16616701;0.302907762
5;14.47143369;0.447550226;8.7265905;18.94358347;0.764242931;-0.020275197;50;0.1;0.4;1;0.17453181;0.289428674
6;14.78727529;0.470501905;9.2064725;18.77269824;0.788202805;0.02594501;50;0.1;0.4;1;0.18412945;0.295745506
7;14.82271028;0.399516174;9.248749;18.85190994;0.787229523;-0.024167916;50;0.1;0.4;1;0.18497498;0.296454206
8;14.76305851;0.382679495;9.2054095;18.73009463;0.788275013;-0.027348791;50;0.1;0.4;1;0.18410819;0.29526117
9;15.04417405;0.477076358;9.2940455;18.76253693;0.801330025;-0.003727059;50;0.1;0.4;1;0.18588091;0.300883481
10;15.10618255;0.475146512;8.9812665;18.91881481;0.799009992;0.021811363;50;0.1;0.4;1;0.17962533;0.302123651
11;15.02697294;0.305051366;7.6696875;19.46437661;0.772222735;-0.044556962;50;0.1;0.4;1;0.15339375;0.300539459
12;14.40502514;0.352976814;9.2684605;18.68455112;0.7715409;-0.001306478;50;0.1;0.4;1;0.18536921;0.288100503
13;14.36335153;0.475649412;9.7927855;18.54161557;0.774856821;0.008160644;50;0.1;0.4;1;0.19585571;0.287267031
14;14.63041714;0.463947593;10.0229395;18.40455208;0.794364125;0.002161918;50;0.1;0.4;1;0.20045879;0.292608343
15;14.78808425;0.371362669;9.011663;18.89313729;0.782624601;0.007944095;50;0.1;0.4;1;0.18023326;0.295761685
16;14.9035545;0.320554584;8.385936;19.18551214;0.777503591;-0.004653552;50;0.1;0.4;1;0.16771872;0.29807109
17;15.15204926;0.326785126;8.3173605;19.19001511;0.789868501;0.011592674;50;0.1;0.4;1;0.16634721;0.303040985
18;14.63755749;0.464219077;9.5523695;18.55696626;0.788546126;-0.011599797;50;0.1;0.4;1;0.19104739;0.29275115
19;14.80742162;0.421960079;9.107502;18.73008021;0.79071614;0.006082426;50;0.1;0.4;1;0.18215004;0.296148432
0;30.35495302;0.555103842;4.5448065;34.85573235;0.870895441;-0.09181166;50;0.25;0.1;1;0.09089613;0.60709906
1;27.50000251;3.373707708;0.3933265;38.05719917;0.722668702;0.09884821;50;0.25;0.1;1;0.00786653;0.55000005
2;30.0222713;0.619624739;5.2468685;34.30298757;0.875019933;-0.106359865;50;0.25;0.1;1;0.10493737;0.600445426
3;30.27432718;0.572963191;5.264537;34.30143552;0.882850774;0.049819031;50;0.25;0.1;1;0.10529074;0.605486544
4;30.6216232;0.629532152;4.907056;34.54939955;0.886212846;-0.021780005;50;0.25;0.1;1;0.09814112;0.612432464
5;30.41356991;0.451705872;4.8424305;34.60994832;0.878737801;0.102824803;50;0.25;0.1;1;0.09684861;0.608271398
6;30.41136046;0.597772169;4.3042675;35.0234292;0.868784353;-0.04114217;50;0.25;0.1;1;0.08608535;0.608227209
7;29.99266912;0.691596242;4.8914185;34.52271034;0.869127611;-0.04066206;50;0.25;0.1;1;0.09782837;0.599853382
8;30.70297993;0.607050633;4.7493745;34.62906261;0.886621875;-0.112748791;50;0.25;0.1;1;0.09498749;0.614059599
9;30.69031504;0.608508078;5.0747155;34.43336906;0.891306227;0.009781491;50;0.25;0.1;1;0.10149431;0.613806301
10;28.92791108;2.131905514;0.1715275;38.13328004;0.758546896;0.092111363;50;0.25;0.1;1;0.00343055;0.578558222
11;30.37081375;0.583035537;4.86791;34.54385487;0.879220119;0.038138136;50;0.25;0.1;1;0.0973582;0.607416275
12;29.99672799;0.714178919;5.255479;34.33178819;0.87368594;-0.063406478;50;0.25;0.1;1;0.10510958;0.59993456
13;30.44176677;0.615736845;4.715853;34.71120719;0.877230012;-0.023533709;50;0.25;0.1;1;0.09431706;0.608835335
14;29.77805515;0.567291507;5.035665;34.46405789;0.864000938;-0.011838082;50;0.25;0.1;1;0.1007133;0.595561103
15;30.48534914;0.576993805;4.9582585;34.57594603;0.881766538;-0.013655905;50;0.25;0.1;1;0.09916517;0.609706983
16;30.48628579;0.662376714;5.1565255;34.33887422;0.887597243;0.053246448;50;0.25;0.1;1;0.10313051;0.609725716
17;30.29649608;0.509691596;5.163754;34.37729743;0.881352847;-0.02550861;50;0.25;0.1;1;0.10327508;0.605929922
18;30.62393322;0.586663134;4.909364;34.56777969;0.886084683;0.059091462;50;0.25;0.1;1;0.09818728;0.612478664
19;30.48938583;0.674290088;4.5735825;34.85196059;0.874800838;0.120972783;50;0.25;0.1;1;0.09147165;0.609787717
0;29.98646557;0.476276664;5.545791;34.01106191;0.881691982;0.021400799;50;0.25;0.25;1;0.11091582;0.599729311
1;29.9247541;0.626973661;6.0652595;33.71486478;0.887636479;0.05073433;50;0.25;0.25;1;0.12130519;0.598495082
2;30.13206041;0.540469984;5.7022745;33.95342406;0.887601744;-0.036159865;50;0.25;0.25;1;0.11404549;0.602641208
3;30.17249703;0.676783758;5.5705745;34.0164796;0.886896859;0.056919031;50;0.25;0.25;1;0.11141149;0.603449941
4;30.57418536;0.616106131;5.4222405;34.21830289;0.893360156;-0.009330005;50;0.25;0.25;1;0.10844481;0.611483707
5;30.05246648;0.594432857;5.591939;34.02741744;0.88338301;0.010277725;50;0.25;0.25;1;0.11183878;0.60104933
6;30.19951517;0.585172874;5.786557;33.87639178;0.891528369;-0.020096102;50;0.25;0.25;1;0.11573114;0.603990303
7;30.27932728;0.606710632;5.890651;33.83466732;0.895009192;0.01508794;50;0.25;0.25;1;0.11781302;0.605586546
8;30.22432963;0.575663566;5.1970825;34.27515829;0.881659722;-0.026547317;50;0.25;0.25;1;0.10394165;0.604486593
9;30.33575033;0.642398493;5.622147;33.96246022;0.893239977;0.004531491;50;0.25;0.25;1;0.11244294;0.606715007
10;30.2084192;0.632848854;5.465468;34.12517631;0.885141203;0.038458142;50;0.25;0.25;1;0.10930936;0.604168384
11;30.7623304;0.561254626;5.1282115;34.38394473;0.894611531;0.005793038;50;0.25;0.25;1;0.10256423;0.615246608
12;30.50873999;0.566983594;5.6029825;34.00993543;0.897142209;0.03214241;50;0.25;0.25;1;0.11205965;0.6101748
13;30.47517762;0.610977765;5.352654;34.20281288;0.891238766;0.037310644;50;0.25;0.25;1;0.10705308;0.609503552
14;30.24343885;0.564030461;5.85238;33.79999686;0.894844678;0.002661918;50;0.25;0.25;1;0.1170476;0.604868777
15;30.47892559;0.640851227;5.4377065;34.15217383;0.892432087;0.003144095;50;0.25;0.25;1;0.10875413;0.609578512
16;30.30083308;0.644333215;5.37143;34.23213352;0.884989699;0.017794319;50;0.25;0.25;1;0.1074286;0.606016662
17;29.06870424;0.695748363;5.529646;34.13373194;0.851741537;-0.03445861;50;0.25;0.25;1;0.11059292;0.581374085
18;30.33120443;0.708903174;5.486903;34.17948166;0.887322716;-0.009761565;50;0.25;0.25;1;0.10973806;0.606624089
19;29.97850115;0.684044191;5.422593;34.13544096;0.878326897;0.011541705;50;0.25;0.25;1;0.10845186;0.599570023
0;30.00987476;0.601974556;5.726768;33.89358918;0.885511384;0.031596023;50;0.25;0.4;1;0.11453536;0.600197495
1;30.53184201;0.648385547;5.2375065;34.24241691;0.891675101;-0.020344264;50;0.25;0.4;1;0.10475013;0.61063684
2;29.98871859;0.609096179;6.1038495;33.59407582;0.892750452;-0.000950362;50;0.25;0.4;1;0.12207699;0.599774372
3;28.92248489;0.536331575;5.830522;33.89033971;0.853300725;0.020019031;50;0.25;0.4;1;0.11661044;0.578449698
4;30.27905291;0.610180045;5.5473435;34.11599832;0.887456808;0.016117256;50;0.25;0.4;1;0.11094687;0.605581058
5;30.54576058;0.60822295;5.483446;34.03658165;0.897566002;-0.020275197;50;0.25;0.4;1;0.10966892;0.610915212
6;29.86929331;0.62497405;5.7732735;33.90190674;0.88118256;0.02594501;50;0.25;0.4;1;0.11546547;0.597385866
7;30.52946114;0.62006634;5.2348655;34.32702043;0.889364362;-0.024167916;50;0.25;0.4;1;0.10469731;0.610589223
8;30.1177127;0.603582561;5.426552;34.10825058;0.883021775;-0.027348791;50;0.25;0.4;1;0.10853104;0.602354254
9;29.83694881;0.684282628;5.9868035;33.71737393;0.8847378;-0.003727059;50;0.25;0.4;1;0.11973607;0.596738976
10;29.78401745;0.613305015;5.850816;33.83608508;0.880269559;0.021811363;50;0.25;0.4;1;0.11701632;0.595680349
11;30.61752127;0.655510679;5.0926085;34.43312084;0.889237891;-0.044556962;50;0.25;0.4;1;0.10185217;0.612350425
12;30.11651212;0.547030572;6.124001;33.54374572;0.897955519;-0.001306478;50;0.25;0.4;1;0.12248002;0.602330242
13;29.90543851;0.6902496;5.6310315;34.03621373;0.878690357;0.008160644;50;0.25;0.4;1;0.11262063;0.59810877
14;30.33916229;0.539115565;5.6307275;33.99893429;0.892423689;0.002161918;50;0.25;0.4;1;0.11261455;0.606783246
15;30.20614164;0.589972443;5.5620805;34.06373402;0.886732238;0.007944095;50;0.25;0.4;1;0.11124161;0.604122833
16;30.39840459;0.59817814;5.5048795;34.06832922;0.892220823;-0.004653552;50;0.25;0.4;1;0.11009759;0.607968092
