Replicate;mean.fitness;mean.learning.rate;mean.learning.episodes;mean.best.fitness;performance;environmental.mean.location;lifespan;env_sd;env_change;change_rate;learning_prop_life;fitness_prop_life
0;14.88228889;0.702536913;0;22.99794352;0.648000539;0.043134835;50;0.1;0.1;1;0;0.297645778
1;14.30656713;3.046758822;0;22.95496625;0.622875554;0.017573842;50;0.1;0.1;1;0;0.286131343
2;13.24189092;1.291061929;0;23.15784261;0.571521609;-0.034373685;50;0.1;0.1;1;0;0.264837818
3;14.89063083;0.888658455;0;23.05289191;0.646034398;0.051352363;50;0.1;0.1;1;0;0.297812617
4;13.83625233;2.49751813;0;22.97097313;0.602500169;0.001808815;50;0.1;0.1;1;0;0.276725047
5;14.56310106;2.633513593;0;23.05225257;0.633361434;-0.069845544;50;0.1;0.1;1;0;0.291262021
6;13.61256193;3.290143077;0;23.05826728;0.590018222;0.048127149;50;0.1;0.1;1;0;0.272251239
7;14.2882019;0.442605386;0;23.05124144;0.619034797;0.015727403;50;0.1;0.1;1;0;0.285764038
8;15.2380778;0.95690123;0;23.06278009;0.660774374;0.044638185;50;0.1;0.1;1;0;0.304761556
9;13.89244731;3.778296023;0;22.89644136;0.606103161;0.061086931;50;0.1;0.1;1;0;0.277848946
10;15.21885947;3.306562306;0;23.13744467;0.657702125;0.032692575;50;0.1;0.1;1;0;0.304377189
11;13.30627894;1.901346702;0;23.01833258;0.577897241;-0.00775525;50;0.1;0.1;1;0;0.266125579
12;14.43021511;0.787928211;0;22.96949222;0.628342927;-0.070300014;50;0.1;0.1;1;0;0.288604302
13;14.92309173;0.765744796;0;22.97175781;0.650038999;0.018757387;50;0.1;0.1;1;0;0.298461835
14;14.27024751;1.145661352;0;23.01825777;0.618204611;-0.051620901;50;0.1;0.1;1;0;0.28540495
15;13.35080395;0.654006569;0;22.9574096;0.580072189;0.009012014;50;0.1;0.1;1;0;0.267016079
16;13.88706523;2.202491178;0;22.98124664;0.60463453;-0.0919263;50;0.1;0.1;1;0;0.277741305
17;14.74907098;1.970734944;0;22.98760833;0.642291026;-0.000283413;50;0.1;0.1;1;0;0.29498142
18;14.8116486;1.022107975;0;23.01418966;0.642945809;0.02517997;50;0.1;0.1;1;0;0.296232972
19;15.24526042;1.374734385;0;23.07632994;0.661407323;0.086485241;50;0.1;0.1;1;0;0.304905208
0;9.412508629;0.906789024;0;22.93584572;0.410591091;-0.000861798;50;0.1;0.25;1;0;0.188250173
1;9.889842226;1.571015086;0;22.92449948;0.431479792;0.031324861;50;0.1;0.25;1;0;0.197796845
2;8.939415052;0.242719738;0;23.01268182;0.388718786;-0.001473685;50;0.1;0.25;1;0;0.178788301
3;10.04952222;0.376057584;0;23.02543642;0.435580205;-0.018302937;50;0.1;0.25;1;0;0.200990444
4;8.045629402;2.293738661;0;23.04926176;0.349849157;-0.026791185;50;0.1;0.25;1;0;0.160912588
5;8.428283024;1.774626361;0;23.11187368;0.364758;0.018897356;50;0.1;0.25;1;0;0.16856566
6;8.67076539;2.624985891;0;22.96889326;0.377607233;0.047477149;50;0.1;0.25;1;0;0.173415308
7;9.541209291;1.149652883;0;23.00873044;0.414950486;-0.02301332;50;0.1;0.25;1;0;0.190824186
8;10.06565789;2.655370409;0;22.97629978;0.437722171;-0.030619895;50;0.1;0.25;1;0;0.201313158
9;9.488277108;3.674764797;0;23.01164058;0.412299656;-0.006210244;50;0.1;0.25;1;0;0.189765542
10;8.958175506;0.781825677;0;23.02143831;0.388359847;-0.022016984;50;0.1;0.25;1;0;0.17916351
11;9.091003855;0.784352498;0;23.12814758;0.39288301;0.047150863;50;0.1;0.25;1;0;0.181820077
12;9.80070297;0.890506305;0;22.98338354;0.426371281;-0.012967824;50;0.1;0.25;1;0;0.196014059
13;8.706875422;1.762441804;0;23.00536477;0.378427123;-0.003692613;50;0.1;0.25;1;0;0.174137508
14;9.556375773;0.302715378;0;23.13089951;0.412839757;0.024109365;50;0.1;0.25;1;0;0.191127515
